<http://www.maine.gov:80/ifw/>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.maine.gov/ifw/>; rel="self"; type="application/link-format"; from="Mon, 21 Oct 2002 12:06:47 GMT",
<http://web.archive.org/web/https://www.maine.gov/ifw/>; rel="timegate",
<http://web.archive.org/web/20021021120647/http://www.maine.gov:80/ifw/>; rel="first memento"; datetime="Mon, 21 Oct 2002 12:06:47 GMT",
<http://web.archive.org/web/20030105231203/http://www.maine.gov:80/ifw/>; rel="memento"; datetime="Sun, 05 Jan 2003 23:12:03 GMT",
<http://web.archive.org/web/20030106103821/http://www.maine.gov:80/ifw>; rel="memento"; datetime="Mon, 06 Jan 2003 10:38:21 GMT",
<http://web.archive.org/web/20030219013218/http://www.maine.gov:80/ifw/>; rel="memento"; datetime="Wed, 19 Feb 2003 01:32:18 GMT",
<http://web.archive.org/web/20030306152058/http://www.maine.gov:80/ifw>; rel="memento"; datetime="Thu, 06 Mar 2003 15:20:58 GMT",
<http://web.archive.org/web/20030402184629/http://www.maine.gov:80/ifw/>; rel="memento"; datetime="Wed, 02 Apr 2003 18:46:29 GMT",
<http://web.archive.org/web/20030618192234/http://www.maine.gov:80/ifw/>; rel="memento"; datetime="Wed, 18 Jun 2003 19:22:34 GMT",
<http://web.archive.org/web/20030628131300/http://www.maine.gov:80/ifw>; rel="memento"; datetime="Sat, 28 Jun 2003 13:13:00 GMT",
<http://web.archive.org/web/20030818060108/http://www.maine.gov:80/ifw/>; rel="memento"; datetime="Mon, 18 Aug 2003 06:01:08 GMT",
<http://web.archive.org/web/20030819050219/http://www.maine.gov:80/ifw>; rel="memento"; datetime="Tue, 19 Aug 2003 05:02:19 GMT",
<http://web.archive.org/web/20031005160023/http://www.maine.gov:80/ifw>; rel="memento"; datetime="Sun, 05 Oct 2003 16:00:23 GMT",
<http://web.archive.org/web/20031005160531/http://www.maine.gov:80/ifw/>; rel="memento"; datetime="Sun, 05 Oct 2003 16:05:31 GMT",
<http://web.archive.org/web/20031204141022/http://www.maine.gov:80/ifw>; rel="memento"; datetime="Thu, 04 Dec 2003 14:10:22 GMT",
<http://web.archive.org/web/20031204142050/http://www.maine.gov:80/ifw/>; rel="memento"; datetime="Thu, 04 Dec 2003 14:20:50 GMT",
<http://web.archive.org/web/20040302093751/http://www.maine.gov:80/ifw/>; rel="memento"; datetime="Tue, 02 Mar 2004 09:37:51 GMT",
<http://web.archive.org/web/20040304043905/http://www.maine.gov:80/ifw>; rel="memento"; datetime="Thu, 04 Mar 2004 04:39:05 GMT",
<http://web.archive.org/web/20040415033853/http://www.maine.gov:80/ifw/>; rel="memento"; datetime="Thu, 15 Apr 2004 03:38:53 GMT",
<http://web.archive.org/web/20040624043930/http://www.maine.gov:80/ifw/>; rel="memento"; datetime="Thu, 24 Jun 2004 04:39:30 GMT",
<http://web.archive.org/web/20040628160055/http://www.maine.gov:80/ifw>; rel="memento"; datetime="Mon, 28 Jun 2004 16:00:55 GMT",
